X,Y,Numerical Solution (in K)
0.030303,0.10101,99.9673
0.030303,0.111111,99.9642
0.030303,0.121212,99.9611
0.030303,0.131313,99.9581
0.030303,0.141414,99.9551
0.030303,0.151515,99.9522
0.030303,0.161616,99.9493
0.030303,0.171717,99.9464
0.030303,0.181818,99.9437
0.030303,0.191919,99.9409
0.030303,0.20202,99.9383
0.030303,0.212121,99.9357
0.030303,0.222222,99.9331
0.030303,0.232323,99.9307
0.030303,0.242424,99.9283
0.030303,0.252525,99.926
0.030303,0.262626,99.9237
0.030303,0.272727,99.9216
0.030303,0.282828,99.9195
0.030303,0.292929,99.9175
0.030303,0.30303,99.9156
0.030303,0.313131,99.9138
0.030303,0.323232,99.9121
0.030303,0.333333,99.9104
0.030303,0.343434,99.9089
0.030303,0.353535,99.9074
0.030303,0.363636,99.906
0.030303,0.373737,99.9048
0.030303,0.383838,99.9036
0.030303,0.393939,99.9025
0.030303,0.40404,99.9016
0.030303,0.414141,99.9007
0.030303,0.424242,99.8999
0.030303,0.434343,99.8993
0.030303,0.444444,99.8987
0.030303,0.454545,99.8982
0.030303,0.464646,99.8979
0.030303,0.474747,99.8976
0.030303,0.484848,99.8974
0.030303,0.494949,99.8974
0.030303,0.505051,99.8974
0.030303,0.515152,99.8976
0.030303,0.525253,99.8979
0.030303,0.535354,99.8982
0.030303,0.545455,99.8987
0.030303,0.555556,99.8992
0.030303,0.565657,99.8999
0.030303,0.575758,99.9007
0.030303,0.585859,99.9015
0.030303,0.59596,99.9025
0.030303,0.606061,99.9036
0.030303,0.616162,99.9047
0.030303,0.626263,99.906
0.030303,0.636364,99.9073
0.030303,0.646465,99.9087
0.030303,0.656566,99.9103
0.030303,0.666667,99.9119
0.030303,0.676768,99.9136
0.030303,0.686869,99.9154
0.030303,0.69697,99.9172
0.030303,0.707071,99.9192
0.030303,0.717172,99.9212
0.030303,0.727273,99.9233
0.030303,0.737374,99.9255
0.030303,0.747475,99.9278
0.030303,0.757576,99.9301
0.030303,0.767677,99.9325
0.030303,0.777778,99.935
0.030303,0.787879,99.9375
0.030303,0.79798,99.9401
0.030303,0.808081,99.9427
0.030303,0.818182,99.9454
0.030303,0.828283,99.9482
0.030303,0.838384,99.951
0.030303,0.848485,99.9538
0.030303,0.858586,99.9567
0.030303,0.868687,99.9596
0.030303,0.878788,99.9626
0.030303,0.888889,99.9656
0.030303,0.89899,99.9686
0.030303,0.909091,99.9717
0.030303,0.919192,99.9748
0.030303,0.929293,99.9779
0.030303,0.939394,99.981
0.030303,0.949495,99.9841
0.030303,0.959596,99.9873
0.030303,0.969697,99.9905
0.030303,0.979798,99.9936
0.030303,0.989899,99.9968
0.030303,1,100
0.040404,0,100
0.040404,0.010101,99.9956
0.040404,0.020202,99.9911
0.040404,0.030303,99.9867
0.040404,0.040404,99.9823
0.040404,0.0505051,99.9779
0.040404,0.0606061,99.9736
0.040404,0.0707071,99.9693
0.040404,0.0808081,99.965
0.040404,0.0909091,99.9607
0.040404,0.10101,99.9565
0.040404,0.111111,99.9524
0.040404,0.121212,99.9483
0.040404,0.131313,99.9442
0.040404,0.141414,99.9403
0.040404,0.151515,99.9363
0.040404,0.161616,99.9325
0.040404,0.171717,99.9287
0.040404,0.181818,99.925
0.040404,0.191919,99.9214
0.040404,0.20202,99.9178
0.040404,0.212121,99.9144
0.040404,0.222222,99.911
0.040404,0.232323,99.9077
0.040404,0.242424,99.9045
0.040404,0.252525,99.9015
0.040404,0.262626,99.8985
0.040404,0.272727,99.8956
0.040404,0.282828,99.8929
0.040404,0.292929,99.8902
0.040404,0.30303,99.8877
0.040404,0.313131,99.8852
0.040404,0.323232,99.8829
0.040404,0.333333,99.8808
0.040404,0.343434,99.8787
0.040404,0.353535,99.8768
0.040404,0.363636,99.8749
0.040404,0.373737,99.8733
0.040404,0.383838,99.8717
0.040404,0.393939,99.8703
0.040404,0.40404,99.869
0.040404,0.414141,99.8678
0.040404,0.424242,99.8668
0.040404,0.434343,99.8659
0.040404,0.444444,99.8651
0.040404,0.454545,99.8645
0.040404,0.464646,99.864
0.040404,0.474747,99.8637
0.040404,0.484848,99.8635
0.040404,0.494949,99.8634
0.040404,0.505051,99.8635
0.040404,0.515152,99.8637
0.040404,0.525253,99.864
0.040404,0.535354,99.8645
0.040404,0.545455,99.8651
0.040404,0.555556,99.8659
0.040404,0.565657,99.8668
0.040404,0.575758,99.8678
0.040404,0.585859,99.8689
0.040404,0.59596,99.8702
0.040404,0.606061,99.8716
0.040404,0.616162,99.8732
0.040404,0.626263,99.8748
0.040404,0.636364,99.8766
0.040404,0.646465,99.8785
0.040404,0.656566,99.8806
0.040404,0.666667,99.8827
0.040404,0.676768,99.885
0.040404,0.686869,99.8874
0.040404,0.69697,99.8898
0.040404,0.707071,99.8924
0.040404,0.717172,99.8952
0.040404,0.727273,99.898
0.040404,0.737374,99.9009
0.040404,0.747475,99.9039
0.040404,0.757576,99.907
0.040404,0.767677,99.9102
0.040404,0.777778,99.9134
0.040404,0.787879,99.9168
0.040404,0.79798,99.9202
0.040404,0.808081,99.9237
0.040404,0.818182,99.9273
0.040404,0.828283,99.931
0.040404,0.838384,99.9347
0.040404,0.848485,99.9385
0.040404,0.858586,99.9423
0.040404,0.868687,99.9462
0.040404,0.878788,99.9502
0.040404,0.888889,99.9542
0.040404,0.89899,99.9582
0.040404,0.909091,99.9623
0.040404,0.919192,99.9664
0.040404,0.929293,99.9706
0.040404,0.939394,99.9747
0.040404,0.949495,99.9789
0.040404,0.959596,99.9831
0.040404,0.969697,99.9873
0.040404,0.979798,99.9915
0.040404,0.989899,99.9958
0.040404,1,100
0.0505051,0,100
0.0505051,0.010101,99.9945
0.0505051,0.020202,99.9889
0.0505051,0.030303,99.9834
0.0505051,0.040404,99.9779
0.0505051,0.0505051,99.9725
0.0505051,0.0606061,99.967
0.0505051,0.0707071,99.9617
0.0505051,0.0808081,99.9563
0.0505051,0.0909091,99.951
0.0505051,0.10101,99.9458
0.0505051,0.111111,99.9406
0.0505051,0.121212,99.9355
0.0505051,0.131313,99.9304
0.0505051,0.141414,99.9255
0.0505051,0.151515,99.9206
0.0505051,0.161616,99.9158
0.0505051,0.171717,99.9111
0.0505051,0.181818,99.9064
0.0505051,0.191919,99.9019
0.0505051,0.20202,99.8975
0.0505051,0.212121,99.8932
0.0505051,0.222222,99.889
0.0505051,0.232323,99.8849
0.0505051,0.242424,99.8809
0.0505051,0.252525,99.8771
0.0505051,0.262626,99.8734
0.0505051,0.272727,99.8698
0.0505051,0.282828,99.8663
0.0505051,0.292929,99.863
0.0505051,0.30303,99.8599
0.0505051,0.313131,99.8568
0.0505051,0.323232,99.854
0.0505051,0.333333,99.8512
0.0505051,0.343434,99.8487
0.0505051,0.353535,99.8462
0.0505051,0.363636,99.844
0.0505051,0.373737,99.8419
